FID,OBJECTID,SHAPE,NATNR,ARTBEZ,WISSBEZ,BEZ,ADRESSE,ND_TYP,OBJEKTART,SE_ANNO_CAD_DATA
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_697b,1713091,POINT (16.254452333195026 48.149976117882375),259,Edelkastanie,Castanea sativa,23,"23., Maurer Lange Gasse 136",Baumgruppe (ab 4 Bäumen),?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_697c,1713092,POINT (16.25495748439088 48.149738692557705),259,Edelkastanie,Castanea sativa,23,"23., Maurer Lange Gasse 136",Baumgruppe (ab 4 Bäumen),?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_697d,1713093,POINT (16.254962713371857 48.14966126382421),259,Edelkastanie,Castanea sativa,23,"23., Maurer Lange Gasse 136",Baumgruppe (ab 4 Bäumen),?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_697e,1713094,POINT (16.255016118051078 48.14988451555571),259,Edelkastanie,Castanea sativa,23,"23., Maurer Lange Gasse 136",Baumgruppe (ab 4 Bäumen),?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_697f,1713095,POINT (16.254609321878778 48.14970975747451),260,Traubeneiche,Quercus petraea,23,"23., Maurer Lange-Gasse 136",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6980,1713096,POINT (16.25427226210773 48.149798102047484),261,Elsbeere,Sorbus torminalis,23,"23., Maurer Lange-Gasse 136",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6981,1713097,POINT (16.443187010362596 48.15756740317432),272,Eichenhain,Quercus,11,"11., Zentralfriedhof -",Baumgruppe (ab 4 Bäumen),?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6982,1713098,POINT (16.379102163477604 48.20366930112268),276,Japanischer Schnurbaum,Styphnolobium japonicum,1,"1., Stadtpark --",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6983,1713099,POINT (16.37946955649026 48.205086585585356),280,Kaukasische Flügelnuss,Pterocarya fraxinifolia,1,"1., Stadtpark -",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6984,1713100,POINT (16.333025099271513 48.22743311944976),293,Baumhasel,Corylus colurna,18,"18., Lacknergasse 79",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6985,1713101,POINT (16.33916300199782 48.25666918724829),297,Morgenländischer Lebensbaum,Thuja orientalis,19,"19., Himmelstraße 25(PFARRE)",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6986,1713102,POINT (16.299437247215838 48.18712706078049),550,Platane,Platanus x hybrida,13,"13., Dommayergasse 6",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6987,1713103,POINT (16.29946124122141 48.18723858477831),550,Eibe,Taxus baccata,13,"13., Dommayergasse 6",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6988,1713104,POINT (16.267304299866343 48.149637390578384),551,Platane,Platanus acerifolia,23,"23., Ölzeltpark -",Baumgruppe (ab 4 Bäumen),?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6989,1713105,POINT (16.267590113569916 48.14956381620872),551,Platane,Platanus acerifolia,23,"23., Ölzeltpark -",Baumgruppe (ab 4 Bäumen),?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_698a,1713106,POINT (16.267933035693968 48.14908971284548),551,Esche,Fraxinus excelsior,23,"23., Ölzeltpark -",Baumgruppe (ab 4 Bäumen),?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_698b,1713107,POINT (16.268366442418856 48.14908996919274),551,Eibe,Taxus baccata,23,"23., Ölzeltpark -",Baumgruppe (ab 4 Bäumen),?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_698c,1713108,POINT (16.345057283098317 48.231795949147156),553,Baumhasel,Corylus colurna,18,"18., Colloredogasse 9",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_698d,1713109,POINT (16.312905895853646 48.17382072060431),556,Schönbrunner Allee,-,12,"12., Schönbrunner Allee -",Allee,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_698e,1713110,POINT (16.31304007895726 48.17352657763372),556,Schönbrunner Allee,-,12,"12., Schönbrunner Allee -",Allee,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_698f,1713111,POINT (16.311859291133437 48.17213642359614),556,Schönbrunner Allee,-,12,"12., Schönbrunner Allee -",Allee,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6990,1713112,POINT (16.312006137759518 48.17179174220075),556,Schönbrunner Allee,-,12,"12., Schönbrunner Allee -",Allee,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6991,1713113,POINT (16.31041209820604 48.169932216045474),556,Schönbrunner Allee,-,12,"12., Schönbrunner Allee -",Allee,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6992,1713114,POINT (16.310470915699742 48.169801197095964),556,Schönbrunner Allee,-,12,"12., Schönbrunner Allee -",Allee,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6993,1713115,POINT (16.310596171390934 48.169623068101245),556,Schönbrunner Allee,-,12,"12., Schönbrunner Allee -",Allee,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6994,1713116,POINT (16.310675405646858 48.16952793676499),556,Schönbrunner Allee,-,12,"12., Schönbrunner Allee -",Allee,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6995,1713117,POINT (16.30983690501223 48.16817120134936),556,Schönbrunner Allee,-,12,"12., Schönbrunner Allee -",Allee,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6996,1713118,POINT (16.309281808076065 48.16790550136769),556,Schönbrunner Allee,-,12,"12., Schönbrunner Allee -",Allee,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6997,1713119,POINT (16.30935966879779 48.16760766197224),556,Schönbrunner Allee,-,12,"12., Schönbrunner Allee -",Allee,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6998,1713120,POINT (16.3075199446351 48.16894649844163),557,Roßkastanienallee,Aesculus hippocastanum,12,"12., Schlöglgasse -",Allee,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6999,1713121,POINT (16.307525895478758 48.16888282748673),557,Spitz- und Bergahornreihe,Acer platanoides & pseudoplatanus,12,"12., Schlöglgasse -",Allee,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_699a,1713122,POINT (16.30427442751142 48.169318146478496),557,Spitz- und Bergahornreihe,Acer platanoides & pseudoplatanus,12,"12., Schlöglgasse -",Allee,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_699b,1713123,POINT (16.28727138402412 48.16954932936483),559,Winterlinde,Tilia cordata,13,"13., Gallgasse 3",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_699c,1713124,POINT (16.338456205359147 48.24686630880503),560,Platane,Platanus x hybrida,19,"19., Traklgasse 9",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_699d,1713125,POINT (16.263772561044146 48.24636045384198),403,Riesenmammutbaum,Sequoiadendron giganteum,17,"17., Exelbergstraße 45",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_699e,1713126,POINT (16.346049065071554 48.2408680936646),407,Gleditschie,Gleditsia triacanthos,19,"19., Krottenbachstraße -",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_699f,1713127,POINT (16.353381864404138 48.24019237987324),410,Bergahorn,Acer pseudoplatanus,19,"19., Dollinergasse 5",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_69a0,1713128,POINT (16.349381848531902 48.24354376450375),413,Libanonzeder,Cedrus libani,19,"19., Silbergasse 4",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_69a1,1713129,POINT (16.28555726638721 48.190158363620554),418,Platane,Platanus x hybrida,13,"13., Hügelgasse -",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_69a2,1713130,POINT (16.22319482484958 48.212872468282995),422,Platane,Platanus x hybrida,14,"14., Mauerbachstraße 41",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_69a3,1713131,POINT (16.22276826578836 48.2128790631882),422,Schwarzkiefer,Pinus nigra,14,"14., Mauerbachstraße 41",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_69a4,1713255,POINT (16.256913936087965 48.135516845593976),617,Morgenländischer Lebensbaum,Thuja orientalis,23,"23., Willergasse 22",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_69a5,1713256,POINT (16.29118883417382 48.18719158134895),618,Eibe,Taxus baccata,13,"13., Steckhovengasse 2",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_69a6,1713257,POINT (16.3169849304383 48.23999108287147),619,Feldahorn,Acer campestre,18,"18., Pötzleinsdorfer Straße 10",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_69a7,1713258,POINT (16.35440269539181 48.243818626790244),620,Morgenländische Platane,Platanus orientalis,19,"19., Döblinger Hauptstraße 87-93",Baumgruppe (ab 4 Bäumen),?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_69a8,1713259,POINT (16.35467336874707 48.243588628249),620,Sommerlinde,Tilia platyphyllos,19,"19., Döblinger Hauptstraße 87-93",Baumgruppe (ab 4 Bäumen),?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_69a9,1713260,POINT (16.354818613593544 48.244249242551874),620,Bergahorn,Acer pseudoplatanus,19,"19., Döblinger Hauptstraße 87-93",Baumgruppe (ab 4 Bäumen),?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_69aa,1713261,POINT (16.334494521027597 48.230061498792026),622,Baumhasel,Corylus colurna,18,"18., Köhlergasse 20",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_69ab,1713262,POINT (16.29660169865639 48.18810287337384),623,Platane,Platanus x hybrida,13,"13., Auhofstraße 10",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_69ac,1713263,POINT (16.3191138263516 48.17980314088565),624,Abendländischer Zürgelbaum,Celtis occidentalis,12,"12., Tivoligasse 73",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_69ad,1713264,POINT (16.31898759986377 48.17887402787733),627,Platane,Platanus x hybrida,12,"12., Tivoligasse 73",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_69ae,1713265,POINT (16.310991712970214 48.165753705001315),632,Esche,Fraxinus excelsior,12,"12., Kaulbachstraße 7",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_69af,1713266,POINT (16.25784071123606 48.148948831386214),633,Eibe,Taxus baccata,23,"23., Maurer Lange Gasse 129",Baumgruppe (ab 4 Bäumen),?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_69b0,1713267,POINT (16.257853626694498 48.14893957706931),633,Eibe,Taxus baccata,23,"23., Maurer Lange Gasse 129",Baumgruppe (ab 4 Bäumen),?,
